Set,Set name,Priority,Candidate ID,Acquisition tier,Provider,Asset,Identity / use,License,NOTICE if selected,Alpha ready,Maps / contents,Prep before measurement,Source URL,Provider ID,File hint,Fetch mode,License source,Creator / credit,Gain span,Albedo SD,Directional anisotropy,Chroma keep,Decision,Notes
9.5,Conifer sprig atlas,1,95-OGA-BRANCH-PACK01,B,OpenGameArt,Branches textures pack 01,generic branch pool,CC0,No,archive—inspect,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/branches-textures-pack-01,,pack21-25_1.7z,oga_page,https://opengameart.org/content/branches-textures-pack-01,,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-BRANCH-PACK03,B,OpenGameArt,Branches textures pack 03,branch pool,CC0,No,archive—inspect,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/branches-textures-pack-03,,pack 31-35.7z,oga_page,https://opengameart.org/content/branches-textures-pack-03,,,,,,unmeasured,
9.5,Conifer sprig atlas,1,95-OGA-BRANCH-PACK04,B,OpenGameArt,Branches textures pack 04,spring/autumn/dead branch pool,CC0,No,archive—inspect,Transparent cutouts / texture archive,Extract only relevant foliage texture(s); ignore meshes; score each candidate independently,https://opengameart.org/content/branches-textures-pack-04,,pack 36-40.7z,oga_page,https://opengameart.org/content/branches-textures-pack-04,,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF01,A,cgbookcase,Oak Leaf 01,oak leaf,CC0,No,series—verify,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-01,OakLeaf01,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF02,A,cgbookcase,Oak Leaf 02,oak leaf,CC0,No,series—verify,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-02,OakLeaf02,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF03,A,cgbookcase,Oak Leaf 03,oak leaf,CC0,No,series—verify,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-03,OakLeaf03,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF04,A,cgbookcase,Oak Leaf 04,oak leaf,CC0,No,yes,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-04,OakLeaf04,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF05,A,cgbookcase,Oak Leaf 05,oak leaf,CC0,No,series—verify,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-05,OakLeaf05,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-OAKLEAF06,A,cgbookcase,Oak Leaf 06,oak leaf,CC0,No,series—verify,Front/back PBR leaf set; Oak Leaf 04 explicitly includes opacity,Manual browser download; score base color + opacity before atlas packing,https://www.cgbookcase.com/textures/oak-leaf-06,OakLeaf06,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,Oak Leaf 04 is the directly verified opacity example; verify sibling package contents.
9.6,Broadleaf atlas,2,96-CGB-GREENLEAF01,A,cgbookcase,Green Leaf 01,generic broadleaf,CC0,No,yes,PBR leaf set including opacity,"Manual browser download; morphology candidate, not species proof",https://www.cgbookcase.com/textures/green-leaf-01,GreenLeaf01,,cgbookcase_page,https://www.cgbookcase.com/textures,cgbookcase,,,,,unmeasured,cgbookcase archive ships Opacity only (1K and 2K both); no BaseColor from publisher
9.6,Broadleaf atlas,2,96-ACG-LEAFSET004,B,ambientCG,LeafSet004,green broadleaf set,CC0,No,verify package,PBR leaf set,Download 2K PNG zip; inspect alpha/opacity and measure pristine albedo,https://ambientcg.com/view?id=LeafSet004,LeafSet004,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-ACG-LEAFSET006,B,ambientCG,LeafSet006,green/autumn broadleaf set,CC0,No,verify package,PBR leaf set,Download 2K PNG zip; inspect alpha/opacity and measure pristine albedo,https://ambientcg.com/view?id=LeafSet006,LeafSet006,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-ACG-LEAFSET024,B,ambientCG,LeafSet024,light green broadleaf,CC0,No,verify package,PBR leaf set,Download 2K PNG zip; inspect alpha/opacity and measure pristine albedo,https://ambientcg.com/view?id=LeafSet024,LeafSet024,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-ACG-LEAFSET027,B,ambientCG,LeafSet027,maple-like broadleaf,CC0,No,verify package,PBR leaf set,Download 2K PNG zip; inspect alpha/opacity and measure pristine albedo,https://ambientcg.com/view?id=LeafSet027,LeafSet027,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-OGA-MAPLE,B,OpenGameArt,paramecij vegetation — maple leaf,maple leaf,CC0,No,yes,Transparent PNG,Direct cutout candidate,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,,vegetation_leaf_maple_01.png,oga_page,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,paramecij,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-OGA-LEAF-MASKED,B,OpenGameArt,Leaf Masked Texture,generic photographic broadleaf,CC0,No,yes,Transparent PNG,Use as generic metric candidate only; species unknown,https://opengameart.org/content/leaf-masked-texture,,leaf_texture.png,oga_page,https://opengameart.org/content/leaf-masked-texture,,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-PH-TREE-SMALL02,B,Poly Haven,Tree Small 02,broadleaf canopy leaves,CC0,No,verify asset,Leaf maps on CC0 scanned model,Fetch leaf texture maps only; ignore model mesh,https://polyhaven.com/a/tree_small_02,tree_small_02,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-WM-ASH-FRAXINUS,C,Wikimedia Commons,Fraxinus Leaves — treegrow,ash (Fraxinus) source photo,CC BY 2.0,Yes,no—mask,4000×3000 source photograph,Mask leaves; retain pristine original + derivative provenance,https://commons.wikimedia.org/wiki/File:Fraxinus_Leaves_-_Flickr_-_treegrow.jpg,File:Fraxinus Leaves - Flickr - treegrow.jpg,,wikimedia_api,https://creativecommons.org/licenses/by/2.0/,Katja Schulz,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-WM-ASPEN-TREMULA,C,Wikimedia Commons,Populus tremula (leaf) (18402474663),aspen (Populus tremula) source photo,CC BY 2.0,Yes,no—mask,3264×4928 source photograph,Mask leaf; retain pristine original + derivative provenance,https://commons.wikimedia.org/wiki/File:Populus_tremula_(leaf)_(18402474663).jpg,File:Populus tremula (leaf) (18402474663).jpg,,wikimedia_api,https://creativecommons.org/licenses/by/2.0/,Tero Laakso,,,,,unmeasured,
9.6,Broadleaf atlas,2,96-OGA-QUAT-LEAF,B,OpenGameArt,Quaternius curated Leaf_Texture.png,generic stylized broadleaf,CC0,No,yes,512×512 transparent PNG,Cheap low-res/style control; measurement decides,https://opengameart.org/content/quaternius-plant-textures-curated-leaftexturepng,,leaf_texture.png,oga_page,https://opengameart.org/content/quaternius-plant-textures-curated-leaftexturepng,Quaternius / curated by Starry Skydancer,,,,,unmeasured,
9.7,Grass blade atlas,3,97-PH-GRASS-MED01,A,Poly Haven,Grass Medium 01,medium grass blades,CC0,No,yes,Alpha + diffuse; PBR maps,Fetch alpha + green diffuse first,https://polyhaven.com/a/grass_medium_01,grass_medium_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.7,Grass blade atlas,3,97-PH-GRASS-MED02,A,Poly Haven,Grass Medium 02,medium grass blades,CC0,No,yes,Alpha + diffuse; PBR maps,Fetch alpha + green diffuse first,https://polyhaven.com/a/grass_medium_02,grass_medium_02,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.7,Grass blade atlas,3,97-PH-BERMUDA01,A,Poly Haven,Grass Bermuda 01,narrow grass blades,CC0,No,yes,Alpha + diffuse; PBR maps,Fetch alpha + green diffuse first,https://polyhaven.com/a/grass_bermuda_01,grass_bermuda_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.7,Grass blade atlas,3,97-ACG-FOLIAGE006,A,ambientCG,Foliage006,grass strands atlas,CC0,No,verify package,PBR foliage set,Download 2K PNG zip and inspect opacity/alpha,https://ambientcg.com/view?id=Foliage006,Foliage006,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.7,Grass blade atlas,3,97-ACG-FOLIAGE001,B,ambientCG,Foliage001,green grass foliage,CC0,No,verify package,PBR foliage set,Download 2K PNG zip and inspect opacity/alpha,https://ambientcg.com/view?id=Foliage001,Foliage001,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASS-CARD03,A,OpenGameArt,Grass Blades Alpha Card,side-view grass blades,CC0,No,yes,1024×256 transparent PNG,Direct alpha-card candidate,https://opengameart.org/content/grass-blades-alpha-card-texture-side-view,,vegetation_grass_card_03.png,oga_page,https://opengameart.org/content/grass-blades-alpha-card-texture-side-view,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBRUSH001,B,OpenGameArt,Stylized Grass texture 001,stylized grass silhouette,CC0,No,yes,Transparent PNG,Cheap silhouette/metric candidate; style may fail,https://opengameart.org/content/stylized-grass-and-bush-textures,,grassbrushcc001.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBRUSH002,B,OpenGameArt,Stylized Grass texture 002,stylized grass silhouette,CC0,No,yes,Transparent PNG,Cheap silhouette/metric candidate; style may fail,https://opengameart.org/content/stylized-grass-and-bush-textures,,grassbrushcc002.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBRUSH003,B,OpenGameArt,Stylized Grass texture 003,stylized grass silhouette,CC0,No,yes,Transparent PNG,Cheap silhouette/metric candidate; style may fail,https://opengameart.org/content/stylized-grass-and-bush-textures,,grassbrushcc003.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBRUSH004,B,OpenGameArt,Stylized Grass texture 004,stylized grass silhouette,CC0,No,yes,Transparent PNG,Cheap silhouette/metric candidate; style may fail,https://opengameart.org/content/stylized-grass-and-bush-textures,,grassbrushcc004.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBUSH005,B,OpenGameArt,Stylized Grass/Bush texture 005,grass/bush silhouette,CC0,No,yes,Transparent PNG,Secondary silhouette candidate,https://opengameart.org/content/stylized-grass-and-bush-textures-0,,grassbushcc005.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures-0,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-GRASSBUSH006,B,OpenGameArt,Stylized Grass/Bush texture 006,grass/bush silhouette,CC0,No,yes,Transparent PNG,Secondary silhouette candidate,https://opengameart.org/content/stylized-grass-and-bush-textures-0,,grassbushcc006.png,oga_page,https://opengameart.org/content/stylized-grass-and-bush-textures-0,,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-PLANT-PACK,B,OpenGameArt,Plant Texture Pack,grass / small-plant pool,CC0,No,archive—inspect,Transparent plant archive,Extract grass candidates only,https://opengameart.org/content/plant-texture-pack,,plant_textures_janexx_0.zip,oga_page,https://opengameart.org/content/plant-texture-pack,janexx,,,,,unmeasured,
9.7,Grass blade atlas,3,97-OGA-3TD-FIELDGRASS,B,OpenGameArt,3TD Starter Pack #1 — Field Grass,field grass texture extraction,CC0,No,archive—inspect,Pack contains Field Grass and textures,Extract texture only; ignore mesh,https://opengameart.org/content/3td-starter-pack-1,,3TD_Starter Pack.zip,oga_page,https://opengameart.org/content/3td-starter-pack-1,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-PH-FERN02,A,Poly Haven,Fern 02,fern frond,CC0,No,yes,Alpha + diffuse + AO/normal/roughness,Primary ready-to-score fern source,https://polyhaven.com/a/fern_02,fern_02,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-PARA-FERN01,A,OpenGameArt,paramecij fern 01,fern cutout,CC0,No,yes,Transparent PNG,Direct photographic cutout,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,,vegetation_fern_01.png,oga_page,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,paramecij,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-PARA-FERN08,A,OpenGameArt,paramecij fern 08,fern cutout,CC0,No,yes,Transparent PNG,Direct photographic cutout,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,,vegetation_fern_08.png,oga_page,https://opengameart.org/content/paramecijs-vegetation-base-texture-pack,paramecij,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-GIANT-FERN,A,OpenGameArt,Giant Fern Leaf,fern/frond variation,CC0,No,yes,Transparent PNG,Measure independently,https://opengameart.org/content/giant-fern-leaf,,InspiredSamambaiacu_1.png,oga_page,https://opengameart.org/content/giant-fern-leaf,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-BIGFERN,B,OpenGameArt,Stylized Simple Plant — big fern leaf,fern/frond variation,CC0,No,yes,Transparent PNG,Measure independently,https://opengameart.org/content/stylized-simple-plant-textures,,bigfernleaf.png,oga_page,https://opengameart.org/content/stylized-simple-plant-textures,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-MINIFERN,B,OpenGameArt,Stylized Simple Plant — mini fern leaf,fern/frond variation,CC0,No,yes,Transparent PNG,Measure independently,https://opengameart.org/content/stylized-simple-plant-textures,,minifernleaf.png,oga_page,https://opengameart.org/content/stylized-simple-plant-textures,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-FERNFETUS,B,OpenGameArt,Stylized Simple Plant — fern fetus,fern/frond variation,CC0,No,yes,Transparent PNG,Measure independently,https://opengameart.org/content/stylized-simple-plant-textures,,fernfetus.png,oga_page,https://opengameart.org/content/stylized-simple-plant-textures,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-60CC0,B,OpenGameArt,60 CC0 Vegetation Textures,mixed fern/vegetation pool,CC0,No,archive—inspect,60-plant archive,Extract fern/frond files; score individually,https://opengameart.org/content/60-cc0-vegetation-textures,,60 free plants.zip,oga_page,https://opengameart.org/content/60-cc0-vegetation-textures,,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-FREE-FERN,C,OpenGameArt,Free Fern Plant,fern texture from model package,CC BY 4.0,Yes,archive—inspect,Fern model package with texture,Extract texture only; ignore model; add NOTICE only if selected,https://opengameart.org/content/free-fern-plant,,fern_0.zip,oga_page,https://creativecommons.org/licenses/by/4.0/,Yughues,,,,,unmeasured,
9.8,Fern / frond atlas,4,98-OGA-FREE-FERN-V2,C,OpenGameArt,Free Fern Plant V2,fern texture from model package,CC BY 4.0,Yes,archive—inspect,Fern model package with texture,Extract texture only; ignore model; add NOTICE only if selected,https://opengameart.org/content/free-fern-plant-v2,,fern_v2.7z,oga_page,https://creativecommons.org/licenses/by/4.0/,Yughues,,,,,unmeasured,
9.9,Bark ×2–3,5,99-OGA-QUAT-BIRCH,A,OpenGameArt,Quaternius curated Birch_Bark.png,birch bark,CC0,No,n/a,768×768 bark PNG,Exact identity/control candidate; measure raw PNG,https://opengameart.org/content/quaternius-tree-textures-curated-birchbarkpng,,birch_bark.png,oga_page,https://opengameart.org/content/quaternius-tree-textures-curated-birchbarkpng,Quaternius / curated by Starry Skydancer,,,,,unmeasured,
9.9,Bark ×2–3,5,99-OGA-QUAT-BIRCH-DEAD,A,OpenGameArt,Quaternius curated Birch_Bark_Dead.png,dead birch bark,CC0,No,n/a,768×768 bark PNG,Exact identity/control candidate; measure raw PNG,https://opengameart.org/content/quaternius-plant-textures-curated-birchbarkdeadpng,,birch_bark_dead.png,oga_page,https://opengameart.org/content/quaternius-plant-textures-curated-birchbarkdeadpng,Quaternius / curated by Starry Skydancer,,,,,unmeasured,
9.9,Bark ×2–3,5,99-OGA-QUAT-BARK-DEAD,A,OpenGameArt,Quaternius curated Bark_Dead.png,generic dead/weathered bark,CC0,No,n/a,768×768 bark PNG,Exact identity/control candidate; measure raw PNG,https://opengameart.org/content/quaternius-plant-textures-curated-barkdeadpng-0,,bark_dead_0.png,oga_page,https://opengameart.org/content/quaternius-plant-textures-curated-barkdeadpng-0,Quaternius / curated by Starry Skydancer,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-PINE,A,Poly Haven,Pine Bark,pine bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/pine_bark,pine_bark,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-KNOTTED-PINE,B,Poly Haven,Knotted Pine Bark,knotted pine,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/knotted_pine_bark,knotted_pine_bark,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-BROWN01,A,Poly Haven,Bark Brown 01,warm weathered bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/bark_brown_01,bark_brown_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-WILLOW,B,Poly Haven,Willow Bark,willow bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/bark_willow,bark_willow,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-METASEQ,B,Poly Haven,Metasequoia Bark,vertical fibrous bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/metasequoia_bark,metasequoia_bark,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-TREE03,A,Poly Haven,Tree Bark 03,old fissured bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/tree_bark_03,tree_bark_03,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-PLATANUS,B,Poly Haven,Platanus Bark,mottled/shed bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/bark_platanus,bark_platanus,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-JPCEDAR,B,Poly Haven,Japanese Cedar Bark,cedar bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/japanese_cedar_bark,japanese_cedar_bark,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-OAK,B,Poly Haven,Jolcham Oak Bark 01,weathered oak bark,CC0,No,n/a,Full PBR surface maps,Fetch diffuse/albedo first; finalists can pull full PBR,https://polyhaven.com/a/jolcham_oak_bark_01,jolcham_oak_bark_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-PH-DEADTRUNK,B,Poly Haven,Dead Tree Trunk,dead/decayed trunk texture extraction,CC0,No,n/a,Texture maps on CC0 model,Fetch surface maps only; ignore mesh,https://polyhaven.com/a/dead_tree_trunk,dead_tree_trunk,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.9,Bark ×2–3,5,99-ACG-BARK012,A,ambientCG,Bark012,brown oak bark / photogrammetry,CC0,No,n/a,Photogrammetry PBR,Download 2K PNG zip for first scoring pass,https://ambientcg.com/view?id=Bark012,Bark012,,ambientcg_zip,https://ambientcg.com/index.php?e=about,ambientCG,,,,,unmeasured,
9.10,Flower / forb atlas,6,910-PH-HELIO,A,Poly Haven,Flower Heliophila,small flower,CC0,No,yes,Alpha + diffuse; PBR companion maps,Fetch alpha + diffuse only for scoring,https://polyhaven.com/a/flower_heliophila,flower_heliophila,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.10,Flower / forb atlas,6,910-PH-EMPOD,B,Poly Haven,Flower Empodium,small flower,CC0,No,yes,Alpha + diffuse; PBR companion maps,Fetch alpha + diffuse only for scoring,https://polyhaven.com/a/flower_empodium,flower_empodium,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.10,Flower / forb atlas,6,910-PH-URSINIA,B,Poly Haven,Flower Ursinia,daisy-like flower,CC0,No,yes,Alpha + diffuse; PBR companion maps,Fetch alpha + diffuse only for scoring,https://polyhaven.com/a/flower_ursinia,flower_ursinia,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.10,Flower / forb atlas,6,910-PH-DANDELION,A,Poly Haven,Dandelion 01,dandelion / forb,CC0,No,yes,Alpha + diffuse; PBR companion maps,Fetch alpha + diffuse only for scoring,https://polyhaven.com/a/dandelion_01,dandelion_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
9.10,Flower / forb atlas,6,910-PH-CELANDINE,A,Poly Haven,Celandine 01,yellow forb,CC0,No,yes,Alpha + diffuse; PBR companion maps,Fetch alpha + diffuse only for scoring,https://polyhaven.com/a/celandine_01,celandine_01,,polyhaven_api,https://polyhaven.com/license,Poly Haven,,,,,unmeasured,
